Name,Owner,Specialties,Neighborhood,Address,Website,Instagram
18.21 Bitters,Kristin Wingfield-Koefod ,,Ponce City Market,"675 Ponce de Leon Ave., NE, Atlanta, GA",www.1821bitters.com,@1821bitters
Atlanta Bath Company,Shena. C,"Soap, Scrubs, Skincare",Online,Online,https://atlantabathcompany.com/,@atlantabathco
The Beehive,Malene Davis,"Local Atlanta Goods, Art",Reynoldstown,"1250 Caroline Street, C120 Atlanta, GA 30307",https://thebeehiveatl.com/,thebeehiveatl
Brannan Sports Enterprises LLC,Kim Brannan,"Uniforms, Silkscreening, Trophies",Online,Online,https://www.facebook.com/BrannanSports/,brannansports
Brave + Kind Books,Bunny Hillard,Bookstore,Decatur,"722 W College Ave, Decatur, GA 30030",https://www.braveandkindbooks.com/,braveandkindbooks
Brighteyed for Treasures ,Nia Cannon,Candles,Decatur,Online,Www.Brighteyedfortreasures.Com ,brighteyedfortreasures
Challenges Games and comics,Tony Cade,"Comics, Board Games","Decatur, North Dekalb","2050 LAWRENCEVILLE HWY Suite A-18 , DECATUR, GA, 30033",https://challengesgames.com/,challengesgames
Closet Glam Boutique,Tenise Starks,Clothing,Midtown,Online,www.closetglamboutique.com,closetglamboutique
Destinee Creates Stuff,Destinee,"Artist, Illustrator",Online,Online,https://www.destineecreatesstuff.com/,destineecreatesstuff
Diabetic Soles,Michelle Williamson,"Therapeutic Footwear, Insoles",Marietta,"1290 Kennestone Circle A-101, Marietta, GA 30066",https://diabeticsoles.com/,diabetic.soles
Fleurty Wick,Kim M. Braud,Candles,Avondale Estates,"2835 Washington St, Avondale Estates, GA 30002",https://www.fleurtywick.com/,fleurtywick
For Chambers,Jacob English,"Clothing, Fashion, Lifestyle",Downtown Atlanta,"41 Marietta Street #2188 Atlanta, GA 30303",forchambers.com,@forchambers
The MakeUp Bullet,Eva Jane Bunkley,Make up products,Online,Online,https://themakeupbullet.com/,EvaJaneBeauty
Living Royalty Clothing,Barry and William Hudgins,Clothing,Atlanta ,P.O. Box 1664 Fayetteville GA 30214,Www.livingroyaltyclothing.com,livingroyalty.co
Olive Branch Green Beauty,Ty Jenkins,Natural Beauty Shop,Decatur,"123 E Ponce de Leon Ave, Decatur, GA 30030",https://www.shoptheolive.com/,OliveBranchGreenBeauty
Patchwork City Farms,Jamila Norman,"Farm, Local Produce",Oakland City,"902 Pinehurst Terrace SW, Atlanta, GA, 30310",https://www.patchworkcityfarms.com/,patchworkcityfarms
ReeDawn Rose Beauty,ReeDawn Rose,"Hair, Lashes, Nails",Buckhead,164 West Wieuca Road Atlanta GA 30342,ReeDawnRose.com,reedawn_rose
Serving Looks ATL,Skylar Mclean,Clothing (Fashion),Online,Online,ServingLooksATL.com,servinglooksatldotcom
Squash Blossom Boutique ,Lisa,Boutique,Grant Park and Decatur ,519 Memorial Drive Ste B & 113 East Court Street,https://www.squashblossomboutique.com/,squashblossomboutique
SustainAble Home Goods,LaToya Tucciarone,"Home Goods, Art, Ethical",Ponce City Markey,"675 Ponce De Leon Ave, Suite N215, Atlanta, GA",https://yoursustainablehome.com/,sustainablehomegoods
Threadz,,Clothing Store,VaHi,"1060 St Charles Ave NE, Atlanta, GA 30306",https://www.threadzatlanta.com/,threadz_atlanta
Wade Ford Dealership,Steve Ewing,Car Dealership,Smyrna,"3860 S Cobb Dr SE, Smyrna, GA 30082",https://www.wadeford.com/,